date_group,department,Department_HHI,Dispersion_Index,date
2025-09-01,airtro,5457.670558883499,4542.329441116501,2025-09-01
2025-09-01,giken,2508.3037119049004,7491.6962880951,2025-09-01
2025-09-02,airtro,2789.60798816568,7210.392011834319,2025-09-02
2025-09-02,giken,4961.853745637529,5038.146254362471,2025-09-02
2025-09-03,airtro,2124.700209706106,7875.299790293894,2025-09-03
2025-09-03,giken,3339.4890735610957,6660.510926438905,2025-09-03
2025-09-04,airtro,2237.628797037982,7762.371202962018,2025-09-04
2025-09-04,giken,9655.278547245305,344.72145275469484,2025-09-04
2025-09-05,airtro,2071.0377212971634,7928.962278702837,2025-09-05
2025-09-05,giken,7469.706632653061,2530.293367346939,2025-09-05
2025-09-06,airtro,2777.7777777777783,7222.222222222222,2025-09-06
2025-09-07,airtro,5876.62889174695,4123.37110825305,2025-09-07
2025-09-08,airtro,1956.651779180635,8043.348220819365,2025-09-08
2025-09-08,giken,2193.3165791985007,7806.683420801499,2025-09-08
2025-09-09,airtro,1927.4402512454617,8072.559748754538,2025-09-09
2025-09-09,giken,1410.1917698995715,8589.808230100429,2025-09-09
2025-09-10,airtro,1600.3382747985277,8399.661725201473,2025-09-10
2025-09-10,giken,2869.108778199688,7130.8912218003115,2025-09-10
2025-09-11,airtro,2116.024882097841,7883.975117902159,2025-09-11
2025-09-11,giken,1635.8857483315562,8364.114251668443,2025-09-11
2025-09-12,airtro,2426.2768760091785,7573.7231239908215,2025-09-12
2025-09-12,giken,3411.4296619251036,6588.570338074896,2025-09-12
2025-09-13,giken,1904.6251077276643,8095.374892272335,2025-09-13
2025-09-14,airtro,6075.3462603878115,3924.6537396121885,2025-09-14
2025-09-15,airtro,3741.811511922439,6258.1884880775615,2025-09-15
2025-09-16,airtro,1358.7844937095854,8641.215506290415,2025-09-16
2025-09-16,giken,1644.7166870904152,8355.283312909585,2025-09-16
2025-09-17,airtro,1336.8294498934727,8663.170550106528,2025-09-17
2025-09-17,giken,1673.2750710874814,8326.72492891252,2025-09-17
2025-09-18,airtro,1358.5135299606472,8641.486470039352,2025-09-18
2025-09-18,giken,2293.854574581702,7706.145425418298,2025-09-18
2025-09-19,airtro,2188.0731941654294,7811.926805834571,2025-09-19
2025-09-19,giken,1263.6106230001303,8736.38937699987,2025-09-19
2025-09-21,airtro,6596.310547759164,3403.6894522408356,2025-09-21
2025-09-22,airtro,2359.120322543618,7640.879677456382,2025-09-22
2025-09-22,giken,2409.636517328825,7590.363482671175,2025-09-22
2025-09-23,airtro,4513.662639510763,5486.337360489237,2025-09-23
2025-09-23,giken,7385.334273109353,2614.6657268906474,2025-09-23
2025-09-24,airtro,1639.2381178854646,8360.761882114535,2025-09-24
2025-09-24,giken,2418.3920846322258,7581.607915367775,2025-09-24
2025-09-25,airtro,1847.9767544773008,8152.0232455227,2025-09-25
2025-09-25,giken,1051.6758786848072,8948.324121315192,2025-09-25
2025-09-26,airtro,2388.0301228696,7611.9698771304,2025-09-26
2025-09-26,giken,1881.6568047337282,8118.343195266272,2025-09-26
